authors,year,title,publication,links
"Drew T, Horowitz TS, Vogel EK",2013,Swapping or dropping?,Electrophysiological measures of difficulty during multiple object tracking. *Cognition*. ,[PDF](/files/pdfs/drew_2013_swapping-dropping.pdf)
Mance I & Vogel EK,2013,Visual working memory: A review.,*WIREs Cognitive Science*. ,[PDF](/files/pdfs/mance_2013_vwm.pdf)
"Cashdollar N, Fukuda K, Bocklage A, Aurtenetxe S, Vogel EK, Gazzaley A",2013,Prolonged disengagement from attentional capture in normal aging.,*Psychology and Aging*. ,[PDF](/files/pdfs/cashdollar_2013_prolonged-disengagement.pdf)
"Spronk M, Vogel EK, Jonkman LM",2013,No behavioral or ERP evidence for a developmental lag in visual working memory capacity or filtering in adolescents and adults with ADHD.,*PLOS one*. ,[PDF](/files/pdfs/spronk_201_behav-ERP-ev)
Luck SJ & Vogel EK,2013,Visual working memory capacity: From psychophysics and neurobiology to individual differences in cognitive ability.,*Trends in Cognitive Sciences*. ,[PDF](/files/pdfs/luck_2013_vwm-capacity.pdf)
"Postle BR, Awh E, Serences JT, Sutterer DW, D’Esposito M",2013,The positional specificity effect reveals a passive trace contribution to visual short-term memory.,*PLOS one*. ,[PDF](/files/pdfs/postle_2013_positional-specificity.pdf)
"Tsubomi H, Fukuda K, Watanabe K, Vogel EK",2013,Neural limits to representing objects still within view.,*Journal of Neuroscience*. ,[PDF](/files/pdfs/tsubomi_2013_neural-limits.pdf)
"Ester EF, Anderson DE, Serences JT, Awh E",2013,A neural measure of precision in visual working memory.,*Journal of Cognitive Neuroscience*. ,[Link](http://www.mitpressjournals.org/doi/full/10.1162/jocn_a_00357)
"Van der Burg E, Awh E, Olivers CNL",2013,The capacity of audiovisual integration is limited to one.,*Psychological Science*. ,[PDF](/files/pdfs/van-der-berg_2013_capacity-audiovisual.pdf)
"Mayer JS, Fukuda K, Vogel EK, Park S",2012,Impaired contingent attentional capture predicts working memory capacity in schizophrenia.,*PLOS one*. ,[PDF](/files/pdfs/mayer_2012_impaired-contingent-attn.pdf)
"LeCompte MA, Goodyear AC, Demitroff MN, Batchelor D, Vogel EK, Mooney C, Rock BN Seidel AW",2012,Independent evaluation of conflicting microspherule results from different investigations of the Younger Dryas impact hypothesis.,*PNAS*. ,[PDF](/files/pdfs/lecompte_2012_independent-evaluation.pdf)
"Spronk M, Vogel EK, Jonkman LM",2012,Electrophysiological evidence for immature processing capacity and filtering in visuospatial working memory in adolescents.,*PLOS One*. ,[PDF](/files/pdfs/spronk_2012_electrophysio-ev.pdf)
"Woodman GF, Vogel EK & Luck SJ",2012,Flexibility in visual working memory: Accurate change detection in the face of irrelevant variations in position.,*Visual Cognition*. ,[PDF](/files/pdfs/woodman_2012_felxibility-vwm/pdf)
"Drummond SP, Anderson DA, Straus LD, Vogel EK, Perez VP",2012,The effects of two types of sleep deprivation on visual working memory capacity and filtering efficiency.,*PLOS One*. ,[PDF](/files/pdfs/drummond_2012_sleep-deprivation.pdf)
"Drew T, Horowitz TS, Wolfe JM, Vogel EK",2012,Neural measures of dynamic changes in attentive tracking load.,*Journal of Cognitive Neuroscience*. ,[PDF](/files/pdfs/drew_2012_dynamic-changes.pdf)
"Awh E, Belopolsky AV, Theeuwes J",2012,Top-down versus bottom-up attentional control: A failed theoretical dichotomy.,*Trends in Cognitive Sciences*. ,[PDF](/files/pdfs/awh_2012_top-down-attn-control.pdf)
"Ester EF, Drew TW, Klee D, Vogel EK, Awh E",2012,Neural measures reveal a fixed item limit in subitizing.,*Journal of Neuroscience*. ,[PDF](/files/pdfs/ester_2012_neural-measures-fixed-item.pdf)
"Stevens AA, Maron L, Nigg JT, Cheung D, Ester EF, Awh E",2012,Increased sensitivity to perceptual interference in adults with attention deficit hyperactivity disorder.,*Journal of the International Neuropsychological Society*. ,[PDF](/files/pdfs/stevens_2012_sensetivity-erceptual-interference.pdf)
"Ester, E. F., Vogel, E. K., & Awh, E.",2012,Discrete resource limits in attention and working memory.,*Cognitive neuroscience of attention*. ,[Link](https://www.guilford.com/books/Cognitive-Neuroscience-of-Attention/Michael-Posner/9781609189853)
Luria T & Vogel EK,2011,Shape and color conjunction stimuli are represented as bound objects in visual working memory.,*Neuropsychologia*. ,[PDF](/files/pdfs/luria_2011_shape-color-conjunction.pdf)
Luria T & Vogel EK,2011,Visual search demands dictate reliance upon working memory storage.,*Journal of Neuroscience*. ,[PDF](/files/pdfs/luria_2011_visual-search.pdf)
"Drew T, Horowitz TS, Wolfe JM, Vogel EK",2011,Delineating the neural signatures of tracking spatial position and working memory during attentive tracking.,*Journal of Neuroscience*. ,[PDF](/files/pdfs/drew_2011_delineate-neural-signatures.pdf)
Fukuda K & Vogel EK,2011,Individual differences in recovery time from attentional capture.,*Psychological Science*. ,[PDF](/files/pdfs/fukuda_2011_individual-differences.pdf)
Perez VB & Vogel EK,2011,What ERPs can tell us about Visual Working Memory.,"*Oxford Handbook of Event-related Potential Components* (Luck SJ & Kappenman E, Eds.) ",[PDF](/files/pdfs/perez_2011_ERPSs-vwm.pdf)
"Umemoto A, Scolari M, Vogel EK, Awh E",2010,Statistical learning induces discrete shifts in the allocation of working memory resources.,*Journal of Experimental Psychology: Human Perception and Performance*. ,[PDF](/files/pdfs/umemoto_2010_statistical-learning.pdf)
"Umemoto A, Drew T, Ester E, Awh E",2010,A bilateral advantage for storage in visual working memory.,*Cognition*. ,[PDF](/files/pdfs/umemoto_2010_bilateral-advantage.pdf)
"Voytek B, Davis M, Yago E, Barcelo F, Vogel EK, Knight RT",2010,Dynamic neuroplasticity after Human Prefrontal Cortex Damage.,*Neuron*. ,[PDF](/files/pdfs/voytek_2010_dyamic-neuroplasticity.pdf)
"Lee E, Cowan N, Vogel EK, Rolan T, Valle-Inclan F, Hackley SA",2010,Visual Working memory deficits in patients with Parkinson’s disease are due to both reduced storage capacity and impaired ability to filter out irrelevant information.,*Brain*. ,[PDF](/files/pdfs/lee_2010_vwm-deficits.pdf)
"Jost K, Bryck RL, Vogel EK, Mayr U",2010,Are Old Adults Just Like Low Working Memory Young Adults?,Filtering Efficiency and Age Differences in Visual Working Memory. *Cerebral Cortex*. ,[PDF](/files/pdfs/jost_2010_old-adults.pdf)
"Ikkai A, McCoullough AW, Vogel EK",2010,Contralateral Delay Activity Provides a Neural Measure of the Number of Representations in Visual Working Memory.,*Journal of Neurophysiology*. ,[PDF](/files/pdfs/ikkai_2010_cda-neural-measure.pdf)
"Fukuda K, Vogel EK, Mayr U, Awh E",2010,Quantity not quality: The relationship between fluid intelligence and working memory capacity.,Psychonomic Bulletin and Review ,[PDF](/files/pdfs/fukuda_2010_fuild-intelligence-vwmc.pdf)
"Fukuda K, Awh E, Vogel EK",2010,Discrete capacity limits in visual working memory.,*Current Opinion in Neurobiology*. ,[PDF](/files/pdfs/fukuda_2010_discrete-capacity.pdf)
"Hyun J, Woodman GF, Vogel EK, Hollingworth A, Luck SJ",2009,The Comparison of Visual Working Memory Representations with Perceptual Inputs.,*Journal of Experimental Psychology: Human Perception and Performance*. ,[PDF](/files/pdfs/hyun_2009_vwm-memory-representations.pdf)
"Ester E, Serences J, Awh E",2009,Spatially global representations in human primary visual cortex during working memory maintenance.,*Journal of Neuroscience*. ,[PDF](/files/pdfs/ester_2009_spatially-global-representations/pdf)
"Willamson K, Scolari M, Jeong S, Kim MS, Awh E",2009,Experience-dependent changes in the topography of visual crowding.,Journal of Vision ,[PDF](/files/pdfs/williamson_2009_experience-dependent-changes.pdf)
Drew T & Vogel EK,2009,Working memory: Capacity limitations.,*Encyclopedia of Neuroscience*. ,[PDF](/files/pdfs/drew_2009_capacity-limitations.pdf)
Fukuda K & Vogel EK,2009,Human variation in overriding attentional capture.,*Journal of Neuroscience*. ,[PDF](/files/pdfs/fukuda_2009_human-variation.pdf)
"Drew T, McCollough AW, Horowitz TS, Vogel EK",2009,Attentional enhancement during multiple object tracking.,*Psychonomic Bulletin and Review*. ,[PDF](/files/pdfs/drew_2009_attentional-enhancement.pdf)
"Barton B, Ester E, Awh E",2009,Discrete Resource Allocation in Visual Working Memory.,*Journal of Experimental Psychology: Human Perception and Performance*. ,[PDF](/files/pdfs/barton_2009_discrete-resource-allocation.pdf)
"Serences J, Ester E, Vogel EK, Awh E",2009,Stimulus-specific delay activity in human primary visual cortex.,*Psychological Science*. ,[PDF](/files/pdfs/serences_2009_stimulus-specific-delay.pdf)
Drew T & Vogel EK,2008,Recently attended masks are less effective.,Perception and Psychophysics ,[PDF](/files/pdfs/drew_2008_recently-attended-masks.pdf)
Drew T & Vogel EK,2008,Neural measures of individual differences in selecting and tracking multiple moving objects.,Journal of Neuroscience ,[PDF](/files/pdfs/drew_2008_neural-measures-moving-objects.pdf)
"Serences J, Scolari M, Awh E",2008,On-line response-selection and the attentional blink: multiple-processing channels.,Visual Cognition ,[PDF](/files/pdfs/serences_2008_online-representations.pdf)
Vogel E & Awh E,2008,How to exploit diversity for scientific gain: Using individual differences to constrain cognitive theory.,Current Directions in Psychological Science ,[PDF](/files/pdfs/vogel-awh_2008_exploit-diversity.pdf)
"Mednick SC, Drummond SP, Boynton GM, Awh E, Serences J",2008,Sleep-dependent learning and practice-dependent deterioration in an orientation discrimination task.,Behavioral Neuroscience ,[PDF](/files/pdfs/mednick_2008_sleep-dependent-learning.pdf)
"Scolari M, Vogel E, Awh E",2008,Perceptual expertise enhances the resolution but not the number of representations in working memory.,*Psychological Bulletin and Review*. ,[PDF](/files/pdfs/scolari_2008_perceptual-expertise.pdf)
Awh E & Vogel EK,2008,The bouncer in the brain.,*Nature Neuroscience*. ,[PDF](/files/pdfs/awh-vogel_2008_bouncer.pdf)
Ester E & Awh E,2008,The processing locus of interference from salient singleton distractors.,*Visual Cognition* ,[PDF](/files/pdfs/ester_2008_processing-locus.pdf)
"McCollough AW, Machizawa MG, Vogel EK",2007,Electrophysiological measures of maintaining representations in visual working memory.,*Cortex* ,[PDF](/files/pdfs/mccollough_2007_electrophysiological-measures.pdf)
"Scolari M, Kohnen A, Barton B, Awh E",2007,"Spatial attention, preview, and popout: Which factors influence critical spacing in crowded displays?",*Journal of Vision* ,[PDF](/files/pdfs/scolari_2007_spatial-attention.pdf)
"Awh E, Barton B, Vogel EK",2007,"Visual working memory represents a fixed number of items, regardless of complexity.",*Psychological Science* ,[PDF](/files/pdfs/awh_2007_vwm-fixed-number-items.pdf)
Stevens C & Awh E,2007,"Commentary: Specificity, mechanisms, and timing in the study of spatial cognition.","*The Emerging Spatial Mind* (J Plumert & JP Spencer, Eds.) Oxford University Press ",[Link](https://global.oup.com/academic/product/the-emerging-spatial-mind-9780195189223?cc=us&lang=en&)
"Awh E, Armstrong KM, Moore T",2006,"Visual and oculomotor selection: links, causes and implications for spatial attention.",*Trends in Cognitive Sciences* ,[PDF](/files/pdfs/awh_2006_visual-oculomotor-selection.pdf)
"Awh E, Vogel E, Oh S-H",2006,Interactions between attention and working memory.,*Neuroscience* ,[PDF](/files/pdfs/awh_2006_interactions.pdf)
"Drew T, McCollough AW, Vogel EK",2006,Event-related potential measures of working memory.,*Clinical EEG and Neuroscience* ,[PDF](/files/pdfs/drew_2006_ERP-vwm.pdf)
"Vogel EK, Woodman GF, Luck SJ",2006,The time course of consolidation in visual working memory.,*Journal of Experimental Psychology: Human Perception and Performance* ,[PDF](/files/pdfs/vogel_2006_time-course.pdf)
"Awh E, Sgarlata AM, Kliestik J",2005,Resolving visual interference during covert spatial orienting: Online Attentional Control Through Static Records of Prior Visual Experience.,*Journal of Experimental Psychology: General* ,[PDF](/files/pdfs/awh_2005_resolving-visual-interference.pdf)
"Vogel EK, McCollough AW, Machizawa MG",2005,Neural measures reveal individual differences in controlling access to visual working memory.,*Nature* ,[PDF](/files/pdfs/vogel_2005_neural-measures-indv-differences.pdf)
"Vogel EK, Woodman GF, Luck SJ",2005,Pushing around the locus of selection: Evidence for the flexible selection hypothesis.,*Journal of Cognitive Neuroscience* ,[PDF](/files/pdfs/vogel_2005_pushing-locus-of-selection.pdf)
Woodman GF & Vogel EK,2005,Fractionating working memory: Memory encoding and maintenance are independent processes.,*Psychological Science* ,[PDF](/files/pdfs/woodman_2005_fractionating-wm.pdf)
"Awh E, Serences J, Laurey P, Dhaliwal H, van der Jagt T, Dassonville P",2004,Evidence against a central bottleneck during the attentional blink: Multiple channels for configural and featural processing.,*Cognitive Psychology* ,[PDF](/files/pdfs/awh_2004_central-bottleneck.pdf)
"Postle BR, Awh E, Jonides J, Smith EE, D’Esposito M",2004,The where and how of attention- based rehearsal in spatial working memory.,*Cognitive Brain Research* ,[PDF](/files/pdfs/postle_2004_attention-based-rehearsal.pdf)
"Serences J, Yantis S, Culberson A, Awh E",2004,Preparatory activity in visual cortex indexes distractor suppression during covert spatial orienting.,*Journal of Neurophysiology* ,[PDF](/files/pdfs/serences_2004_preparatory-activity.pdf)
Vogel EK & Machizawa MG,2004,Neural activity predicts individual differences in visual working memory capacity.,*Nature* ,[PDF](/files/pdfs/vogel_2004_neural-activty-indv-differences.pdf)
Jonides J & Awh E,2003,What Is The Source Of Activation For Working Memory?,*Behavioral and Brain Sciences* ,[Link](https://doi.org/10.1017/S0140525X03350162)
"Mayr U, Awh E, Laurey P",2003,Conflict adaptation effects do not require executive control.,*Nature Neuroscience* ,[PDF](/files/pdfs/mayr_2003_conflict-adaptation.pdf)
"Hopf JM, Vogel EK, Woodman GF, Hagner T, Heinze HJ, Luck SJ",2002,Localizing visual discrimination processes in time and space.,*Journal of Neurophysiology* ,[PDF](files/pdfs/hopf_2002_localizing-visual-discrimination.pdf)
"Jonides, J, Sylvester, C-Y.C, Lacey, SC, Wager, TD, Nichols, TE, & Awh E",2002,Modules of working memory.,"In RH Kluwe, G Luer, and F Rosler (Eds.), *Principles of Working Memory*. Boston: Birkhaeuser Publishing Ltd. ",[PDF](/files/pdfs/jonides_2002_modules-of-wm.pdf)
"Schmidt BK, Vogel EK, Woodman GF, Luck SJ",2002,Voluntary and involuntary control of visual working memory.,*Perception & Psychophysics*. ,[PDF](/files/pdfs/schmidt_2002_voluntary-automatic-attn-control.pdf)
"Vecera SP, Vogel EK, Woodman GF",2002,Lower region: A new cue to figure-ground segregation.,*Journal of Experimental Psychology: General*. ,[PDF](/files/pdfs/vecera_2002_lower-region-new-cue.pdf)
Vogel EK & Luck SJ,2002,Delayed working memory consolidation during the attentional blink.,*Psychonomic Bulletin & Review* ,[PDF](/files/pdfs/vogel_2002_delayed-wm-consolidation.pdf)
Awh E & Jonides J,2001,Overlapping mechanisms of attention and working memory.,*Trends in Cognitive Sciences* ,[PDF](/files/pdfs/awh_2001_overlapping-mechanisms.pdf)
"Awh E, Dhaliwal H, Christensen S, Matsukura M",2001,Evidence for two components of object-based selection.,*Psychological Science* ,[PDF](/files/pdfs/awh_2001_evidence-two-components-object-based.pdf)
"Vogel EK, Woodman GF, Luck SJ",2001,"Storage of features, conjunctions, and objects in visual working memory.",*Journal of Experimental Psychology: Human Perception and Performance* ,[PDF](/files/pdfs/vogel_2001_storage-features-conjunctions-objects.pdf)
"Woodman GF, Vogel EK, Luck SJ",2001,Visual search remains efficient when visual working memory is full.,*Psychological Science* ,[PDF](/files/pdfs/woodman_2001_visual-search-efficient.pdf)
"Awh E, Anllo-Vento L, Hillyard SA",2000,The role of spatial selective attention in working memory for locations: evidence from event-related potentials.,*Journal of Cognitive Neuroscience* ,[PDF](/files/pdfs/awh_2000_spatial-selective-attention.pdf)
Awh E & Pashler H,2000,Evidence for split attentional foci.,*Journal of Experimental Psychology: Human Perception and Performance* ,[PDF](/files/pdfs/awh_2000_split-attentional-foci.pdf)
"Luck SJ, Woodman GF, Vogel EK",2000,Event-related potential studies of attention.,*Trends in Cognitive Sciences* ,[PDF](/files/pdfs/luck_2000_ERP-attention.pdf)
Vogel EK & Luck SJ,2000,The visual N1 component as an index of a discrimination process.,*Psychophysiology* ,[PDF](/files/pdfs/vogel_2000_visual-N1-component.pdf)
"Awh E, Jonides J, Smith EE, Buxton RB, Frank LR, Love T, Wong EC, Gmeindl L",1999,Rehearsal in spatial working memory: Evidence from neuroimaging.,*Psychological Science* ,[PDF](/files/pdfs/awh_1999_rehearsal-spatial-wm.pdf)
Awh E & Gehring WJ,1999,The anterior cingulate lends a hand in response selection.,*Nature Neuroscience* ,[PDF](/files/pdfs/awh_1999_anterior-cingulate-cortex.pdf)
Awh E & Jonides J,1998,Spatial Selective Attention and Spatial Working Memory.,*The Attentive Brain* (R Parasuraman Ed.) ,[PDF]
"Hillyard SA, Vogel EK, Luck SJ",1998,Sensory gain control (amplification) as a mechanism of selective attention: Electrophysiological and neuroimaging evidence.,*Philosophical Transactions of the Royal Society: Biological Sciences* ,[PDF](/files/pdfs/hillyard_1998_sensory-gain-control.pdf)
"Jonides J, Schumacher EH, Smith EE, Koeppe RA, Awh E, Reuter-Lorenz PA, Marshuetz C, Willis CR",1998,The role of parietal cortex in verbal working memory.,*Journal of Neuroscience* ,[PDF](/files/pdfs/jonides_1998_parietal-cortex-verbal-wm.pdf)
Luck SJ & Vogel EK,1998,Visual and auditory working memory capacity: Response from Luck and Vogel.,*Trends in Cognitive Sciences* ,[PDF](/files/pdfs/luck_1998_visual-auditory-memory-capacity.pdf)
"Vogel EK, Luck SJ, Shapiro KL",1998,Electrophysiological evidence for a post-perceptual locus of suppression during the attentional blink.,*Journal of Experimental Psychology: Human Perception and Performance* ,[PDF](/files/pdfs/vogel_1998_electrophysiological-evidence-postperceptual-locus.pdf)
"Jonides J, Schumacher EH, Smith EE, Lauber E, Awh E, Minoshima S, Koeppe RA",1997,The task-load of verbal working memory affects regional brain activation as measured by PET.,*Journal of Cognitive Neuroscience* ,[Link](https://doi.org/10.1162/jocn.1997.9.4.462)
Luck SJ & Vogel EK,1997,The capacity of visual working memory for features and conjunctions.,*Nature* ,[PDF](/files/pdfs/luck_1997_capacity-features-conjuctions.pdf)
"Awh E, Jonides J, Smith EE, Schumacher EH, Koeppe RA, Katz S",1996,Dissociation of storage and rehearsal in verbal working memory: evidence from PET.,*Psychological Science* ,[PDF](/files/pdfs/awh_1996_dissociation-storage-rehearsal.pdf)
"Jonides J, Reuter-Lorenz PA, Smith EE, Awh E, Barnes LL, Drain M, Glass J, Lauber E, Patalano A, Schumacher EH",1996,Verbal and Spatial Working Memory in Humans.,"*The Psychology of Learning and Motivation*, 4 (D Medin Ed.)",[Link](http://www.sciencedirect.com/science/bookseries/00797421/35)
"Luck SJ, Vogel EK, Shapiro KL",1996,Word meanings can be accessed but not reported during the attentional blink.,*Nature* ,[PDF](/files/pdfs/luck_1996_word-meanings.pdf)
"Schumacher EH, Lauber EJ, Awh E, Jonides J, Smith EE, Koeppe RA",1996,PET evidence for an amodal verbal working memory system.,*Neuroimage* ,[PDF](/files/pdfs/schumacher_1996_PET-evidence-amodal-vwm)
"Smith EE, Jonides J, Koeppe RA, Awh E, Schumacher EH, Minoshima S",1995,Spatial vs. Object working memory: PET investigations.,*Journal of Cognitive Neuroscience* ,[Link](https://doi.org/10.1162/jocn.1995.7.3.337)
"Awh E, Smith EE, Jonides J",1995,Human rehearsal processes and the frontal lobes: PET evidence.,"*Structure and functions of the human prefrontal cortex*. (J Grafman, K Holyoak, F Boller, Eds.) Annals of the New York Academy of Sciences ",[PDF](/files/pdfs/awh_1995_huma-rehearsal-processes.pdf)
"Minoshima S, Koeppe RA, Smith EE, Awh E, Jonides J",1994,PET investigations of working memory.,*Experimental Medicine* ,
"Jonides J, Smith EE, Koeppe RA, Awh ES, Minoshima S, Mintun MA",1993,Spatial working memory in humans as revealed by PET.,*Nature* ,[PDF](/files/pdfs/jonides_1993_spatial-wm-PET.pdf)
