authors,year,title,publication,links
Fukuda K & Vogel E,2010,Individual differences in resistance to attentional capture,,[Link](https://doi.org/10.1167/8.6.1117)
"McCollough A, Dungan B & Vogel E",2010,Proximity Grouping in Visual Working Memory,,[Link](https://doi.org/10.1167/10.7.735)
Drew T & Vogel E,2010,An electrophysiological measure of multiple object tracking,,[Link](https://doi.org/10.1167/6.6.771)
Fukuda K & Vogel E,2010,Visual short term memory serves as a gateway to long term memory,,[Link](https://doi.org/10.1167/10.7.730)
"Vogel E, McCollough A, Drew T & Horowitz T",2010,Probing the distribution of attention to targets and distractors in multiple object tracking,,[Link](https://doi.org/10.1167/10.7.245)
"Hyun J, Woodman GF, Vogel E, Niese A & Luck S",2010,How are visual inputs compared with memory representations in the change-detection paradigm?,,[Link](https://doi.org/10.1167/3.9.322)
Luria R & Vogel E,2010,Filtering Efficiency in Visual Working Memory,<i>Journal of Vision</i>,[Link](https://doi.org/10.1167/10.7.318)
Perez V & Vogel E,2010,Relating visual working memory capacity and visual attention in schizophrenia-spectrum individuals,,[Link](https://doi.org/10.1167/8.6.1172)
"Lester BD, Drew T & Vogel E",2010,Electrophysiological evidence of interhemispheric resource recruitment during visual working memory,,[Link](https://doi.org/10.1167/10.7.708)
Woodman GF & Vogel E,2010,Visual working memory consolidation is not slowed by concurrent maintenance,,[Link](https://doi.org/10.1167/5.8.617)
"Ashby NJS, Fukuda K & Vogel E",2010,Estimating visual working memory capacity with whole and single probe test arrays,,[Link](https://doi.org/10.1167/9.8.590)
McCollough A & Vogel E,2010,Control processes in working memory,,[Link](https://doi.org/10.1167/6.6.32)
"Vogel E, Woodman GF & Luck S",2010,The rapid time-course of visual working memory consolidation,,[Link](https://doi.org/10.1167/2.7.270)
"McCollough A, Drew T & Vogel E",2010,Perceptual grouping during multiple object tracking,,[Link](https://doi.org/10.1167/9.8.920)
Fukuda K & Vogel E,2010,Attentional filtering efficiency and individual differences in VSTM capacity,,[Link](https://doi.org/10.1167/7.9.684) \| [PDF](/files/pdfs/fukuda_2010_discrete-capacity.pdf)
